,movie_title,movie_stars,movie_ratings,release_year,movie_duration,movie_url
53, Apocalypse Now,8.4†,698000,1979,2h 27m,https://www.imdb.com/title/tt0078788/?ref_=chttp_i_54
54, Django Unchained,8.5†,1700000,2012,2h 45m,https://www.imdb.com/title/tt1853728/?ref_=chttp_i_55
55, Memento,8.4†,1300000,2000,1h 53m,https://www.imdb.com/title/tt0209144/?ref_=chttp_i_56
56, Raiders of the Lost Ark,8.4†,100000,1981,1h 55m,https://www.imdb.com/title/tt0082971/?ref_=chttp_i_57
57, WALL∑E,8.4†,1200000,2008,1h 38m,https://www.imdb.com/title/tt0910970/?ref_=chttp_i_58
58, Das Leben der Anderen,8.4†,404000,2006,2h 17m,https://www.imdb.com/title/tt0405094/?ref_=chttp_i_59
59, Sunset Blvd,8.4†,232000,1950,1h 50m,https://www.imdb.com/title/tt0043014/?ref_=chttp_i_60
60, Paths of Glory,8.4†,208000,1957,1h 28m,https://www.imdb.com/title/tt0050825/?ref_=chttp_i_61
61, Avengers: Infinity War,8.4†,1200000,2018,2h 29m,https://www.imdb.com/title/tt4154756/?ref_=chttp_i_62
62, Oppenheimer,8.4†,537000,2023,3h,https://www.imdb.com/title/tt15398776/?ref_=chttp_i_63
63, The Shining,8.4†,1100000,1980,2h 26m,https://www.imdb.com/title/tt0081505/?ref_=chttp_i_64
64, Spider-Man: Into the Spider-Verse,8.4†,644000,2018,1h 57m,https://www.imdb.com/title/tt4633694/?ref_=chttp_i_65
65, Witness for the Prosecution,8.4†,134000,1957,1h 56m,https://www.imdb.com/title/tt0051201/?ref_=chttp_i_66
66, The Great Dictator,8.4†,234000,1940,2h 5m,https://www.imdb.com/title/tt0032553/?ref_=chttp_i_67
67, Alien 2,8.4†,750000,1986,2h 17m,https://www.imdb.com/title/tt0090605/?ref_=chttp_i_68
68, Inglourious Basterds,8.4†,1500000,2009,2h 33m,https://www.imdb.com/title/tt0361748/?ref_=chttp_i_69
69, The Dark Knight Rises,8.4†,1800000,2012,2h 44m,https://www.imdb.com/title/tt1345836/?ref_=chttp_i_70
70, American Beauty,8.3†,1200000,1999,2h 2m,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_71
71, Dr,8.4†,510000,1964,1h 35m,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_72
72, Oldeuboi,8.4†,619000,2003,1h 41m,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_73
73, Coco,8.4†,567000,2017,1h 45m,https://www.imdb.com/title/tt2380307/?ref_=chttp_i_74
74, Amadeus,8.4†,421000,1984,2h 40m,https://www.imdb.com/title/tt0086879/?ref_=chttp_i_75
75, Toy Story,8.3†,100000,1995,1h 21m,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_76
76, Das Boot,8.4†,261000,1981,2h 29m,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_77
77, Braveheart,8.3†,1100000,1995,2h 58m,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_78
78, Avengers: Endgame,8.4†,1200000,2019,3h 1m,https://www.imdb.com/title/tt4154796/?ref_=chttp_i_79
79, Joker,8.4†,1400000,2019,2h 2m,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_80
80, Mononoke-hime,8.3†,421000,1997,2h 14m,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_81
81, Good Will Hunting,8.3†,100000,1997,2h 6m,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_82
82, Kimi No Na Wa,8.4†,305000,2016,1h 46m,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_83
83, Once Upon a Time in America,8.3†,370000,1984,3h 49m,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_84
84, Tengoku to Jigoku,8.4†,51000,1963,2h 23m,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_85
85, 3 Idiots,8.4†,423000,2009,2h 50m,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_86
86, Singin' in the Rain,8.3†,256000,1952,1h 43m,https://www.imdb.com/title/tt0045152/?ref_=chttp_i_87
87, Capharna√ºm,8.4†,101000,2018,2h 6m,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_88
88, Requiem for a Dream,8.3†,883000,2000,1h 42m,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_89
89, Idi I Smotri,8.4†,92000,1985,2h 22m,https://www.imdb.com/title/tt0091251/?ref_=chttp_i_90
90, Toy Story 3,8.3†,877000,2010,1h 43m,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_91
91, Star Wars: Episode VI - Return of the Jedi,8.3†,1100000,1983,2h 11m,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_92
92, Eternal Sunshine of the Spotless Mind,8.3†,1100000,2004,1h 48m,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_93
93, 2001: A Space Odyssey,8.3†,705000,1968,2h 29m,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_94
94, Jagten,8.3†,355000,2012,1h 55m,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_95
95, Reservoir Dogs,8.3†,1100000,1992,1h 39m,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_96
96, Ikiru,8.3†,85000,1952,2h 23m,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_97
97, Lawrence of Arabia,8.3†,308000,1962,3h 38m,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_98
98, The Apartment,8.3†,192000,1960,2h 5m,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_99
99, Citizen Kane,8.3†,459000,1941,1h 59m,https://www.imdb.com/title/tt0033467/?ref_=chttp_i_100
100, M - Eine Stadt sucht einen M√∂rder,8.3†,166000,1931,1h 57m,https://www.imdb.com/title/tt0022100/?ref_=chttp_i_101
101, North by Northwest,8.3†,341000,1959,2h 16m,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_102
102, Vertigo,8.3†,420000,1958,2h 8m,https://www.imdb.com/title/tt0052357/?ref_=chttp_i_103
103, Double Indemnity,8.3†,165000,1944,1h 47m,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_104
104, Le fabuleux destin d'Am√©lie Poulain,8.3†,784000,2001,2h 2m,https://www.imdb.com/title/tt0211915/?ref_=chttp_i_105
105, Scarface,8.3†,895000,1983,2h 50m,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_106
106, Full Metal Jacket,8.3†,777000,1987,1h 56m,https://www.imdb.com/title/tt0093058/?ref_=chttp_i_107
107, Incendies,8.3†,192000,2010,2h 11m,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_108
108, A Clockwork Orange,8.3†,867000,1971,2h 16m,https://www.imdb.com/title/tt0066921/?ref_=chttp_i_109
109, Heat,8.3†,702000,1995,2h 50m,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_110
110, Up,8.3†,1100000,2009,1h 36m,https://www.imdb.com/title/tt1049413/?ref_=chttp_i_111
111, To Kill a Mockingbird,8.3†,328000,1962,2h 9m,https://www.imdb.com/title/tt0056592/?ref_=chttp_i_112
112, The Sting,8.3†,275000,1973,2h 9m,https://www.imdb.com/title/tt0070735/?ref_=chttp_i_113
113, Hamilton,8.3†,109000,2020,2h 40m,https://www.imdb.com/title/tt8503618/?ref_=chttp_i_114
114, Jodaeiye Nader Az Simin,8.3†,255000,2011,2h 3m,https://www.imdb.com/title/tt1832382/?ref_=chttp_i_115
115, Indiana Jones and the Last Crusade,8.2†,798000,1989,2h 7m,https://www.imdb.com/title/tt0097576/?ref_=chttp_i_116
116, Metropolis,8.3†,182000,1927,2h 33m,https://www.imdb.com/title/tt0017136/?ref_=chttp_i_117
117, Die Hard,8.2†,921000,1988,2h 12m,https://www.imdb.com/title/tt0095016/?ref_=chttp_i_118
118, Taare Zameen Par,8.3†,203000,2007,2h 42m,https://www.imdb.com/title/tt0986264/?ref_=chttp_i_119
119, Snatch,8.2†,894000,2000,1h 44m,https://www.imdb.com/title/tt0208092/?ref_=chttp_i_120
120, L,8.2†,606000,1997,2h 18m,https://www.imdb.com/title/tt0119488/?ref_=chttp_i_121
121, Ladri Di Biciclette,8.3†,172000,1948,1h 29m,https://www.imdb.com/title/tt0040522/?ref_=chttp_i_122
122, Taxi Driver,8.2†,897000,1976,1h 54m,https://www.imdb.com/title/tt0075314/?ref_=chttp_i_123
123,1917,8.2†,653000,2019,1h 59m,https://www.imdb.com/title/tt8579674/?ref_=chttp_i_124
124, Der Untergang,8.2†,370000,2004,2h 36m,https://www.imdb.com/title/tt0363163/?ref_=chttp_i_125
125, Dangal,8.3†,205000,2016,2h 41m,https://www.imdb.com/title/tt5074352/?ref_=chttp_i_126
126, Per qualche dollaro in pi√π,8.2†,269000,1965,2h 12m,https://www.imdb.com/title/tt0059578/?ref_=chttp_i_127
127, Batman Begins,8.2†,1500000,2005,2h 20m,https://www.imdb.com/title/tt0372784/?ref_=chttp_i_128
128, Top Gun: Maverick,8.3†,645000,2022,2h 10m,https://www.imdb.com/title/tt1745960/?ref_=chttp_i_129
129, Some Like It Hot,8.2†,279000,1959,2h 1m,https://www.imdb.com/title/tt0053291/?ref_=chttp_i_130
130, The Kid,8.2†,133000,1921,1h 8m,https://www.imdb.com/title/tt0012349/?ref_=chttp_i_131
131, The Wolf of Wall Street,8.2†,1500000,2013,3h,https://www.imdb.com/title/tt0993846/?ref_=chttp_i_132
132, The Father,8.2†,182000,2020,1h 37m,https://www.imdb.com/title/tt10272386/?ref_=chttp_i_133
133, Green Book,8.2†,545000,2018,2h 10m,https://www.imdb.com/title/tt6966692/?ref_=chttp_i_134
134, All About Eve,8.2†,137000,1950,2h 18m,https://www.imdb.com/title/tt0042192/?ref_=chttp_i_135
135, Judgment at Nuremberg,8.3†,83000,1961,2h 59m,https://www.imdb.com/title/tt0055031/?ref_=chttp_i_136
136, The Truman Show,8.2†,1200000,1998,1h 43m,https://www.imdb.com/title/tt0120382/?ref_=chttp_i_137
137, There Will Be Blood,8.2†,628000,2007,2h 38m,https://www.imdb.com/title/tt0469494/?ref_=chttp_i_138
138, Casino,8.2†,552000,1995,2h 58m,https://www.imdb.com/title/tt0112641/?ref_=chttp_i_139
139, Shutter Island,8.2†,1400000,2010,2h 18m,https://www.imdb.com/title/tt1130884/?ref_=chttp_i_140
140, Ran,8.2†,133000,1985,2h 40m,https://www.imdb.com/title/tt0089881/?ref_=chttp_i_141
141, El Laberinto Del Fauno,8.2†,694000,2006,1h 58m,https://www.imdb.com/title/tt0457430/?ref_=chttp_i_142
142, Jurassic Park,8.2†,100000,1993,2h 7m,https://www.imdb.com/title/tt0107290/?ref_=chttp_i_143
