,movie_title,movie_stars,movie_ratings,release_year,movie_duration,movie_url
234, Groundhog Day,8.0†,669000,1993,1h 41m,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_235
235, La battaglia di Algeri,8.1†,64000,1966,2h 1m,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_236
236, The Grapes of Wrath,8.1†,98000,1940,2h 9m,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_237
237, Amores perros,8.1†,250000,2000,2h 34m,https://www.imdb.com/title/tt0245712/?ref_=chttp_i_238
238, The Sound of Music,8.1†,252000,1965,2h 52m,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_239
239, Rebecca,8.1†,144000,1940,2h 10m,https://www.imdb.com/title/tt0032976/?ref_=chttp_i_240
240, Cool Hand Luke,8.1†,186000,1967,2h 7m,https://www.imdb.com/title/tt0061512/?ref_=chttp_i_241
241, The Iron Giant,8.1†,220000,1999,1h 26m,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_242
242, The Help,8.1†,484000,2011,2h 26m,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_243
243, It Happened One Night,8.1†,110000,1934,1h 45m,https://www.imdb.com/title/tt0025316/?ref_=chttp_i_244
244, Pather Panchali,8.2†,37000,1955,2h 5m,https://www.imdb.com/title/tt0048473/?ref_=chttp_i_245
245, The 400 Blows,8.1†,126000,1959,1h 39m,https://www.imdb.com/title/tt0053198/?ref_=chttp_i_246
246, Aladdin,8.0†,455000,1992,1h 30m,https://www.imdb.com/title/tt0103639/?ref_=chttp_i_247
247, Dances with Wolves,8.0†,285000,1990,3h 1m,https://www.imdb.com/title/tt0099348/?ref_=chttp_i_248
248, Persona,8.1†,128000,1966,1h 25m,https://www.imdb.com/title/tt0060827/?ref_=chttp_i_249
249, Life of Brian,8.0†,418000,1979,1h 34m,https://www.imdb.com/title/tt0079470/?ref_=chttp_i_250
